name,height_cm,weight_kg,reach_cm,stance,dob,splm,str_acc,sapm,str_def,td_avg,td_avg_acc,td_def,sub_avg,wins,losses,draws
Abubakar Vagaev,,77.11,,,1993-04-14,,,,,,,,,,,
Abus Magomedov,187.96,83.91,198.12,Orthodox,1990-09-02,3.21,48.0,3.68,56.0,2.65,57.0,100.0,0.2,28.0,6.0,1.0
Acacio Dos Santos,193.04,92.99,200.66,Orthodox,1991-09-29,,,,,,,,,,,
Achilles Estremadura,177.8,70.31,172.72,Orthodox,1992-03-11,,,,,,,,,,,
Achmed Labasanov,190.5,97.52,,Orthodox,1978-04-24,,,,,,,,,,,
Adam Antolin,165.1,56.7,160.02,Orthodox,1982-02-28,,,,,,,,,,,
Adam Bramhald,177.8,61.23,177.8,Orthodox,1994-03-24,,,,,,,,,,,
Adam Cella,187.96,77.11,,,1985-06-26,1.91,42.0,2.61,51.0,3.92,75.0,50.0,1.3,6.0,8.0,0.0
Adam Fugitt,185.42,77.11,195.58,Southpaw,1989-01-12,4.59,46.0,4.54,51.0,1.83,25.0,50.0,0.0,10.0,5.0,0.0
Adam Hunter,185.42,83.91,,Orthodox,1983-10-16,,,,,,,,,,,
Adam Khaliev,182.88,77.11,,Orthodox,1984-04-16,,,,,,,,,,,
Adam Livingston,187.96,70.31,180.34,Orthodox,2001-08-15,,,,,,,,,,,
Adam Lynn,177.8,70.31,,Orthodox,,,,,,,,,,,,
Adam Meredith,187.96,77.11,,,,,,,,,,,,,,
Adam Milstead,190.5,92.99,193.04,Orthodox,1987-07-03,3.85,46.0,4.79,43.0,0.0,0.0,64.0,0.0,8.0,4.0,0.0
Adam Piccolotti,180.34,70.31,,,1988-10-23,,,,,,,,,,,
Adam Schindler,172.72,70.31,,,1983-05-19,,,,,,,,,,,
Adam Smith,,,,,,,,,,,,,,,,
Adam Steele,,77.11,,,,,,,,,,,,,,
Adam Wieczorek,195.58,113.4,205.74,Orthodox,1992-02-05,1.68,38.0,1.87,48.0,0.41,33.0,58.0,0.4,10.0,2.0,0.0
Adam Yandiev,175.26,83.91,187.96,Orthodox,1988-08-07,0.18,8.0,6.14,36.0,0.0,0.0,25.0,0.0,9.0,1.0,0.0
Adilet Nurmatov,,70.31,,,1997-08-02,,,,,,,,,,,
Adin Duenas,167.64,65.77,,,1988-07-02,,,,,,,,,,,
Adlan Amagov,187.96,77.11,193.04,Orthodox,1986-10-30,3.29,47.0,0.82,78.0,5.84,56.0,100.0,0.0,14.0,2.0,1.0
Adli Edwards,,65.77,,,1989-08-28,,,,,,,,,,,
Adrian Diaz,177.8,65.77,,Southpaw,1988-04-26,,,,,,,,,,,
Adrian Serrano,172.72,77.11,,,1963-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,29.0,4.0
Adrian Yanez,170.18,61.23,177.8,Orthodox,1993-11-29,6.23,41.0,5.75,54.0,0.0,0.0,81.0,0.0,17.0,6.0,0.0
Adriano Martins,177.8,70.31,182.88,Southpaw,1982-12-16,1.8,38.0,2.14,65.0,0.83,80.0,81.0,0.4,28.0,9.0,0.0
Adriano Santos,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adrienna Jenkins,172.72,65.77,,,1981-07-22,,,,,,,,,,,
Agulali,175.26,56.7,170.18,Switch,2005-04-07,,,,,,,,,,,
Ahejiang Ailinuer,,65.77,,,,,,,,,,,,,,
Ahmad Hassanzada,185.42,70.31,190.5,Orthodox,1996-11-20,,,,,,,,,,,
Aiemann Zahabi,172.72,61.23,172.72,Orthodox,1987-11-19,4.42,46.0,4.13,69.0,0.14,14.0,83.0,0.0,13.0,2.0,0.0
Ailin Perez,165.1,61.23,167.64,Switch,1994-10-05,3.1,54.0,1.79,55.0,4.68,46.0,66.0,0.2,12.0,2.0,0.0
Ailiya Muratbek,,70.31,,,,,,,,,,,,,,
Aisling Daly,157.48,52.16,162.56,Orthodox,1987-12-24,2.92,52.0,1.4,55.0,2.15,41.0,33.0,0.9,16.0,6.0,0.0
Aji Susilo,177.8,70.31,,,,,,,,,,,,,,
Akbarh Arreola,177.8,70.31,180.34,Southpaw,1983-01-14,2.32,45.0,4.01,56.0,1.07,100.0,33.0,0.4,23.0,11.0,1.0
Akihiro Gono,170.18,77.11,172.72,Switch,1974-10-07,2.18,48.0,2.67,63.0,1.01,84.0,46.0,0.5,35.0,21.0,8.0
Akihito Tanaka,,,,Southpaw,,,,,,,,,,,,
Akira Corassani,172.72,65.77,172.72,Orthodox,1982-08-27,3.25,45.0,4.91,50.0,0.7,28.0,86.0,0.0,12.0,6.0,0.0
Akira Kikuchi,172.72,70.31,,Orthodox,1978-07-23,,,,,,,,,,,
Akira Shoji,172.72,88.45,,Orthodox,1974-01-31,,,,,,,,,,,
Akitoshi Tamura,175.26,61.23,177.8,Orthodox,1980-05-31,,,,,,,,,,,
Akiyo Nishiura,172.72,63.05,,Southpaw,1983-08-08,,,,,,,,,,,
Al Iaquinta,177.8,70.31,177.8,Orthodox,1987-04-30,4.06,40.0,4.53,61.0,0.63,18.0,74.0,0.2,14.0,7.0,1.0
Al Matavao,172.72,92.99,170.18,Orthodox,1994-02-23,,,,,,,,,,,
Alain Van der Merckt,,83.91,,,1993-06-11,,,,,,,,,,,
Alan Baudot,190.5,110.22,200.66,Orthodox,1988-02-01,5.36,58.0,4.82,46.0,0.0,0.0,62.0,0.0,8.0,3.0,0.0
Alan Belcher,187.96,83.91,190.5,Orthodox,1984-04-24,2.7,41.0,3.1,59.0,0.44,26.0,55.0,0.9,18.0,8.0,0.0
Alan Gomez,,70.31,,,,,,,,,,,,,,
Alan Hiro,165.1,61.23,,Orthodox,1986-04-04,,,,,,,,,,,
Alan Jouban,182.88,77.11,185.42,Southpaw,1981-11-25,5.67,50.0,3.77,60.0,0.51,44.0,58.0,0.3,17.0,7.0,0.0
Alan Omer,177.8,65.77,,Orthodox,1988-09-14,3.49,55.0,2.21,64.0,1.69,42.0,66.0,0.0,20.0,5.0,0.0
Alan Patrick,180.34,70.31,187.96,Southpaw,1983-07-19,1.82,40.0,2.95,43.0,3.01,33.0,43.0,0.3,15.0,4.0,0.0
Alatengheili,165.1,61.23,167.64,Orthodox,1991-12-14,2.82,32.0,5.12,57.0,1.74,43.0,75.0,0.0,17.0,10.0,2.0
Alavutdin Gadjiev,187.96,83.91,,Orthodox,1982-06-23,,,,,,,,,,,
Albert Cheng,180.34,77.11,,Orthodox,1985-02-07,1.0,41.0,2.6,71.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0
Albert Duraev,180.34,83.91,190.5,Orthodox,1989-01-05,2.99,40.0,3.01,59.0,1.97,29.0,66.0,0.6,16.0,5.0,0.0
Albert Morales,175.26,61.23,182.88,Orthodox,1991-05-25,3.81,35.0,3.96,56.0,0.91,35.0,70.0,0.2,7.0,4.0,1.0
Albert Rios,172.72,65.77,,,,,,,,,,,,,,
Albert Tadevosyan,,77.11,,,1992-04-12,,,,,,,,,,,
Albert Tumenov,180.34,77.11,185.42,Orthodox,1991-12-26,3.76,42.0,3.34,58.0,0.2,20.0,75.0,0.0,18.0,4.0,0.0
Alberta Cerra Leon,172.72,107.95,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Alberto Crane,165.1,70.31,,Orthodox,1976-07-14,0.43,25.0,2.61,57.0,0.0,0.0,50.0,4.0,15.0,5.0,0.0
Alberto Mina,182.88,77.11,195.58,Orthodox,1982-05-02,3.23,38.0,3.7,47.0,1.85,20.0,50.0,0.0,13.0,1.0,0.0
Alberto Montes,170.18,65.77,175.26,Orthodox,1994-05-31,,,,,,,,,,,
Alberto Uda,190.5,83.91,,Orthodox,1984-08-08,1.79,52.0,3.49,45.0,2.83,50.0,66.0,0.0,12.0,2.0,0.0
Alden Coria,172.72,56.7,170.18,Orthodox,1998-04-24,,,,,,,,,,,
Alejandro Flores,177.8,65.77,185.42,Orthodox,1991-08-06,,,,,,,,,,,
Alejandro Garcia,170.18,65.77,,,,,,,,,,,,,,
Alejandro Perez,167.64,61.23,170.18,Orthodox,1989-09-02,3.45,35.0,3.18,61.0,0.54,22.0,70.0,0.3,23.0,9.0,1.0
Alejandro Villalobos,170.18,65.77,,,1979-10-26,,,,,,,,,,,
Aleksa Camur,185.42,92.99,187.96,Orthodox,1995-09-25,4.73,57.0,4.26,54.0,0.46,22.0,50.0,0.0,6.0,3.0,0.0
Aleksandar Rakic,193.04,92.99,198.12,Orthodox,1992-02-06,4.16,50.0,2.91,51.0,0.66,23.0,85.0,0.1,14.0,5.0,0.0
Aleksander Emelianenko,198.12,115.67,,Orthodox,1981-08-02,,,,,,,,,,,
Aleksandra Albu,157.48,52.16,160.02,Orthodox,1990-07-14,4.83,47.0,5.56,38.0,2.27,50.0,77.0,0.4,3.0,2.0,0.0
Aleksandre Topuria,170.18,61.23,172.72,Orthodox,1996-01-28,2.73,51.0,2.53,70.0,1.0,50.0,100.0,0.0,6.0,1.0,0.0
Aleksei Kunchenko,172.72,77.11,177.8,Orthodox,1984-05-02,3.67,44.0,2.83,63.0,0.25,33.0,80.0,0.0,20.0,2.0,0.0
Aleksei Oleinik,187.96,108.86,203.2,Orthodox,1977-06-20,3.29,48.0,3.8,44.0,1.82,46.0,37.0,1.9,60.0,17.0,1.0
Alen Amedovski,177.8,83.91,187.96,Orthodox,1988-04-06,0.99,30.0,3.85,46.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0
Alessandro Costa,162.56,56.7,170.18,Orthodox,1996-01-28,4.14,47.0,3.5,57.0,0.27,12.0,90.0,0.0,14.0,4.0,0.0
Alessio Di Chirico,182.88,83.91,187.96,Orthodox,1989-12-12,3.32,39.0,3.44,61.0,1.46,39.0,83.0,0.0,13.0,7.0,0.0
Alessio Sakara,182.88,83.91,182.88,Orthodox,1981-09-02,3.96,47.0,2.8,59.0,2.18,78.0,62.0,0.0,19.0,11.0,0.0
Alex Andrade,180.34,90.72,,Orthodox,1974-05-14,0.2,36.0,2.6,53.0,0.0,0.0,25.0,0.8,10.0,5.0,0.0
Alex Caceres,177.8,65.77,185.42,Southpaw,1988-06-20,4.21,49.0,3.09,62.0,0.54,68.0,64.0,0.7,21.0,15.0,0.0
Alex Chambers,160.02,52.16,160.02,Southpaw,1978-10-25,2.97,54.0,5.1,50.0,2.31,41.0,53.0,1.0,5.0,5.0,0.0
Alex Crispin,,70.31,,,,,,,,,,,,,,
Alex Da Silva,172.72,70.31,185.42,Orthodox,1996-02-04,2.14,46.0,2.52,56.0,1.97,43.0,76.0,0.3,21.0,4.0,0.0
Alex Dunworth,172.72,70.31,,,,,,,,,,,,,,
Alex Enlund,177.8,65.77,,Orthodox,1987-05-27,,,,,,,,,,,
Alex Garcia,175.26,77.11,182.88,Orthodox,1987-07-14,1.81,31.0,3.03,59.0,3.72,52.0,66.0,0.1,15.0,6.0,0.0
Alex Gilpin,170.18,65.77,,Orthodox,1992-03-26,,,,,,,,,,,
Alex Gorgees,187.96,70.31,187.96,Switch,1995-08-11,0.67,32.0,2.27,38.0,0.0,0.0,54.0,0.0,6.0,1.0,0.0
Alex Higley,177.8,65.77,,,,,,,,,,,,,,
Alex Huddleston,200.66,115.21,,,1986-08-11,,,,,,,,,,,
Alex Hunter,175.26,102.51,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Alex Karalexis,172.72,70.31,167.64,Orthodox,1977-09-20,2.57,42.0,2.39,54.0,2.7,45.0,86.0,0.9,10.0,6.0,0.0
Alex Morono,180.34,77.11,182.88,Orthodox,1990-08-16,5.03,40.0,4.78,56.0,0.33,24.0,47.0,0.3,24.0,12.0,0.0
Alex Nicholson,193.04,83.91,195.58,Orthodox,1990-05-02,4.12,43.0,4.65,47.0,0.0,0.0,50.0,0.5,7.0,4.0,0.0
Alex Oliveira,180.34,77.11,193.04,Orthodox,1988-02-21,2.99,51.0,2.55,46.0,2.35,38.0,63.0,0.6,22.0,12.0,1.0
Alex Pereira,193.04,92.99,200.66,Orthodox,1987-07-07,5.0,62.0,3.5,53.0,0.11,50.0,78.0,0.2,12.0,3.0,0.0
Alex Perez,167.64,56.7,165.1,Orthodox,1992-03-21,4.19,46.0,3.2,58.0,2.04,46.0,77.0,0.8,25.0,9.0,0.0
Alex Reyes,180.34,70.31,185.42,Orthodox,1986-10-02,4.46,46.0,6.92,48.0,1.5,28.0,0.0,0.0,13.0,5.0,0.0
Alex Ricci,180.34,70.31,,Orthodox,1982-07-21,2.48,41.0,2.53,64.0,0.0,0.0,64.0,0.0,10.0,5.0,0.0
Alex Schoenauer,190.5,83.91,,Orthodox,1976-05-05,1.22,40.0,2.27,42.0,0.0,0.0,22.0,4.9,15.0,10.0,0.0
Alex Serdyukov,187.96,77.11,187.96,Orthodox,1980-05-24,,,,,,,,,,,
Alex Soto,172.72,61.23,,Southpaw,1984-02-15,2.95,25.0,5.02,59.0,2.82,30.0,0.0,0.0,8.0,3.0,1.0
Alex Stiebling,187.96,92.99,,Southpaw,,1.77,42.0,1.45,52.0,0.35,66.0,66.0,0.7,19.0,11.0,1.0
Alex Torres,177.8,65.77,,Orthodox,1988-05-29,2.47,37.0,2.73,69.0,2.0,22.0,50.0,0.0,5.0,4.0,0.0
Alex White,182.88,70.31,180.34,Southpaw,1988-10-22,3.76,42.0,3.07,60.0,0.92,28.0,71.0,0.5,13.0,6.0,0.0
Alex Zuniga,,65.77,,,,,,,,,,,,,,
Alexa Grasso,165.1,56.7,167.64,Orthodox,1993-08-09,4.11,41.0,3.73,58.0,0.41,35.0,54.0,0.6,16.0,5.0,1.0
Alexander Crispim,,65.77,,,,,,,,,,,,,,
Alexander Gustafsson,195.58,92.99,200.66,Orthodox,1987-01-15,4.03,40.0,3.53,51.0,1.53,39.0,83.0,0.4,18.0,8.0,0.0
Alexander Hernandez,175.26,70.31,182.88,Orthodox,1992-10-01,4.36,40.0,4.6,58.0,1.2,36.0,73.0,0.1,17.0,8.0,0.0
Alexander Morgan,177.8,65.77,180.34,Orthodox,1991-05-14,,,,,,,,,,,
Alexander Munoz,175.26,70.31,182.88,Switch,1990-02-27,3.7,42.0,4.73,55.0,3.0,40.0,100.0,0.0,7.0,2.0,0.0
Alexander Otsuka,185.42,92.99,,Orthodox,1971-07-17,,,,,,,,,,,
Alexander Poppeck,187.96,92.99,,Orthodox,1992-04-06,,,,,,,,,,,
Alexander Sarnavskiy,180.34,70.31,,,1989-01-17,,,,,,,,,,,
Alexander Shlemenko,180.34,83.91,,,1984-05-20,,,,,,,,,,,
Alexander Soldatkin,187.96,113.4,190.5,Orthodox,1993-06-10,,,,,,,,,,,
Alexander Trevino,,77.11,,,,,,,,,,,,,,
Alexander Volkanovski,167.64,65.77,180.34,Orthodox,1988-09-29,6.18,56.0,3.36,58.0,1.67,34.0,70.0,0.2,27.0,4.0,0.0
Alexander Volkov,200.66,113.4,203.2,Orthodox,1988-10-24,4.97,57.0,2.99,54.0,0.61,66.0,72.0,0.2,38.0,11.0,0.0
Alexander Yakovlev,190.5,70.31,187.96,Southpaw,1984-07-18,1.74,47.0,2.41,58.0,1.66,35.0,72.0,0.1,24.0,10.0,1.0
Alexandr Romanov,187.96,118.84,190.5,Southpaw,1990-12-11,3.78,51.0,2.13,54.0,4.49,55.0,28.0,0.9,18.0,3.0,0.0
Alexandre Barros,175.26,77.11,,Southpaw,1976-11-19,0.98,40.0,4.05,36.0,1.84,50.0,100.0,0.0,22.0,11.0,0.0
Alexandre Dantas,187.96,107.95,,Orthodox,1979-03-01,0.21,25.0,1.87,60.0,0.0,0.0,0.0,3.1,0.0,3.0,0.0
Alexandre Ferreira,170.18,92.99,,Orthodox,1979-04-25,2.57,60.0,8.14,42.0,0.0,0.0,0.0,0.0,18.0,6.0,0.0
Alexandre Franca Nogueira,170.18,65.77,,Orthodox,1978-01-15,,,,,,,,,,,
Alexandre Pantoja,165.1,56.7,170.18,Orthodox,1990-04-16,4.36,50.0,3.88,49.0,2.8,47.0,69.0,1.0,30.0,5.0,0.0
Alexandru Lungu,182.88,174.63,,Orthodox,1974-09-03,,,,,,,,,,,
Alexia Thainara,162.56,52.16,170.18,Orthodox,1995-11-20,5.73,40.0,2.82,70.0,3.07,100.0,0.0,2.3,12.0,1.0,0.0
Alexis Davis,167.64,61.23,172.72,Orthodox,1984-10-04,4.63,49.0,4.45,54.0,0.95,44.0,34.0,0.7,21.0,11.0,0.0
Alexis Dufresne,175.26,61.23,,Orthodox,1990-08-31,1.33,27.0,3.33,60.0,1.5,50.0,50.0,0.0,6.0,3.0,0.0
Alfonso Alcarez,160.02,65.77,,,1970-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0
Alfred Khashakyan,172.72,61.23,177.8,Orthodox,1988-07-17,,,,,,,,,,,
Ali AlQaisi,167.64,61.23,172.72,Orthodox,1990-09-23,2.43,42.0,1.97,56.0,3.5,29.0,60.0,1.0,8.0,5.0,0.0
Ali Bagautinov,162.56,56.7,165.1,Orthodox,1985-06-10,2.85,42.0,3.09,52.0,2.51,36.0,65.0,0.3,15.0,6.0,0.0
Aliaskhab Khizriev,175.26,83.91,187.96,Southpaw,1990-08-24,6.01,64.0,4.38,61.0,5.64,60.0,100.0,3.8,14.0,0.0,0.0
Alibi Idiris,167.64,56.7,172.72,Orthodox,1994-10-22,3.47,50.0,3.6,53.0,0.0,0.0,60.0,0.0,11.0,1.0,0.0
Alice Ardelean,160.02,52.16,157.48,Orthodox,1992-04-19,6.73,44.0,5.04,57.0,1.0,50.0,87.0,0.0,10.0,7.0,0.0
Alice Pereira,172.72,61.23,180.34,Orthodox,2005-12-20,,,,,,,,,,,
Aliev Makhmud,167.64,88.45,,Southpaw,1970-02-13,,,,,,,,,,,
Alik Lorenz,187.96,92.99,195.58,Orthodox,1997-01-25,,,,,,,,,,,
Alistair Overeem,193.04,120.2,203.2,Orthodox,1980-05-17,3.67,64.0,2.44,57.0,1.42,55.0,73.0,0.8,47.0,19.0,0.0
Aljamain Sterling,170.18,65.77,180.34,Orthodox,1989-07-31,4.45,52.0,2.21,59.0,2.45,30.0,44.0,0.6,25.0,5.0,0.0
Allan Begosso,165.1,61.23,167.64,Orthodox,1995-11-23,,,,,,,,,,,
Allan Goes,182.88,92.99,,Orthodox,1971-04-20,0.64,52.0,1.35,41.0,1.75,40.0,0.0,2.6,10.0,5.0,2.0
Allan Nascimento,172.72,56.7,175.26,Orthodox,1991-09-11,2.64,60.0,1.96,50.0,1.42,24.0,30.0,0.9,21.0,6.0,0.0
Allan Zuniga,170.18,70.31,177.8,Orthodox,1992-04-04,3.93,52.0,1.8,61.0,0.0,0.0,57.0,1.0,13.0,1.0,0.0
Allen Berube,172.72,70.31,,Orthodox,1974-08-25,0.92,80.0,0.92,33.0,6.87,100.0,0.0,3.4,4.0,3.0,0.0
Allen Crowder,190.5,111.13,193.04,Orthodox,1989-11-08,2.95,51.0,2.95,56.0,1.85,33.0,100.0,1.2,10.0,4.0,0.0
Allen Frye Jr.,,120.2,,,1998-04-15,,,,,,,,,,,
Alonzo Martinez,177.8,70.31,,,1984-04-22,,,,,,,,,,,
Alonzo Menifield,182.88,92.99,193.04,Orthodox,1987-10-18,3.79,53.0,3.76,50.0,0.5,31.0,78.0,0.2,17.0,5.0,1.0
Alptekin Ozkilic,165.1,56.7,165.1,Orthodox,1986-03-27,3.81,32.0,5.72,59.0,4.21,58.0,75.0,0.0,9.0,5.0,0.0
Alton Cunningham,187.96,92.99,195.58,Orthodox,1993-06-24,,,,,,,,,,,
Alvaro Herrera Mendoza,182.88,70.31,187.96,Orthodox,1990-05-14,1.89,38.0,3.4,55.0,0.0,0.0,33.0,1.1,9.0,6.0,0.0
Alvin Cacdac,167.64,56.7,,Orthodox,,,,,,,,,,,,
Alvin Hines,187.96,120.2,187.96,Orthodox,1991-10-20,5.47,31.0,7.47,38.0,1.0,10.0,0.0,0.0,7.0,1.0,0.0
Alvin Robinson,175.26,70.31,172.72,Southpaw,1982-07-16,1.57,50.0,1.29,51.0,1.24,50.0,25.0,1.2,15.0,9.0,0.0
Amador Ramirez,,61.23,,,1990-06-14,,,,,,,,,,,
Amanda Cooper,160.02,52.16,162.56,Switch,1991-10-22,3.55,44.0,3.2,51.0,1.53,38.0,28.0,1.8,3.0,5.0,0.0
Amanda Lemos,162.56,52.16,165.1,Southpaw,1987-05-22,2.89,54.0,3.46,44.0,1.14,62.0,59.0,0.7,15.0,4.0,1.0
Amanda Nunes,172.72,61.23,175.26,Orthodox,1988-05-30,4.55,51.0,2.62,57.0,2.73,54.0,82.0,0.7,23.0,5.0,0.0
Amanda Ribas,162.56,52.16,167.64,Orthodox,1993-08-26,4.26,39.0,3.29,60.0,2.05,52.0,82.0,0.6,13.0,7.0,0.0
Amar Suloev,175.26,83.01,,Orthodox,1976-07-01,1.98,37.0,2.19,70.0,0.27,100.0,88.0,0.3,24.0,7.0,0.0
Amaury Bitetti,175.26,83.91,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0
Amber Tackett,,52.16,,,,,,,,,,,,,,
Amilcar Alves,182.88,77.11,,Southpaw,1988-08-08,0.5,46.0,2.02,30.0,0.0,0.0,53.0,0.0,15.0,12.0,0.0
Amir Albazi,165.1,56.7,172.72,Orthodox,1993-10-27,2.72,34.0,3.71,61.0,1.39,32.0,50.0,0.5,17.0,2.0,0.0
Amir Aliakbari,190.5,113.4,,,1984-06-10,,,,,,,,,,,
Amir Rahnavardi,182.88,92.99,,Orthodox,1974-12-07,,,,,,,,,,,
Amir Sadollah,177.8,77.11,190.5,Orthodox,1980-08-27,4.71,46.0,3.55,60.0,0.57,27.0,60.0,0.3,6.0,5.0,0.0
Amiran Gogoladze,185.42,77.11,187.96,Switch,1997-12-09,,,,,,,,,,,
An Tuan Ho,167.64,56.7,167.64,Switch,2000-09-27,,,,,,,,,,,
Ananias Mulumba,,65.77,,,1998-09-18,,,,,,,,,,,
Anatoly Tokov,177.8,83.91,,,1990-02-17,,,,,,,,,,,
Anderson Dos Santos,165.1,61.23,177.8,Orthodox,1985-07-24,2.7,25.0,5.37,49.0,0.98,14.0,66.0,0.7,21.0,9.0,0.0
Anderson Silva,187.96,83.91,195.58,Southpaw,1975-04-14,3.05,61.0,2.05,60.0,0.5,77.0,69.0,0.8,34.0,11.0,0.0
Andre Amado,182.88,69.85,,Orthodox,,,,,,,,,,,,
Andre Ewell,172.72,65.77,190.5,Southpaw,1988-01-21,4.28,40.0,4.87,51.0,0.36,75.0,72.0,0.1,17.0,9.0,0.0
Andre Fialho,182.88,77.11,187.96,Orthodox,1994-04-07,3.3,41.0,6.26,45.0,0.25,100.0,66.0,0.0,16.0,8.0,0.0
Andre Fili,180.34,65.77,187.96,Orthodox,1990-06-25,3.87,37.0,4.23,51.0,2.22,45.0,71.0,0.2,25.0,12.0,0.0
Andre Galvao,170.18,76.2,,Orthodox,1982-09-29,,,,,,,,,,,
Andre Gusmao,182.88,92.99,,Orthodox,1977-05-19,2.79,43.0,3.28,60.0,0.0,0.0,60.0,0.0,6.0,3.0,0.0
Andre Lima,170.18,56.7,170.18,Orthodox,1999-02-04,4.06,60.0,2.49,57.0,1.36,75.0,75.0,1.1,11.0,0.0,0.0
Andre Muniz,185.42,83.91,198.12,Southpaw,1990-02-17,2.04,49.0,2.33,51.0,4.02,49.0,35.0,1.2,24.0,7.0,0.0
Andre Mussi,190.5,109.77,,Orthodox,,,,,,,,,,,,
